,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
45,399106.SZ,20200826,2237.894,2282.4258,2287.0237,2229.4792,2280.7477,-42.8537,-1.8789,465528430.0,596614403.3
46,399106.SZ,20200825,2280.7477,2281.3297,2297.3271,2272.6742,2278.2451,2.5026,0.1098,456935754.0,586063100.5
47,399106.SZ,20200824,2278.2451,2261.6866,2285.1126,2235.7771,2249.9513,28.2938,1.2575,410963576.0,551390118.4
48,399106.SZ,20200821,2249.9513,2242.0802,2259.9387,2232.7763,2225.7247,24.2266,1.0885,383524064.0,482952719.2
49,399106.SZ,20200820,2225.7247,2237.5832,2251.4165,2217.4367,2253.6781,-27.9534,-1.2403,388868521.0,469996080.8
50,399106.SZ,20200819,2253.6781,2294.1851,2294.1851,2252.6401,2298.4495,-44.7714,-1.9479,479639739.0,590142820.3
51,399106.SZ,20200818,2298.4495,2289.1635,2304.766,2283.6968,2287.336,11.1135,0.4859,474540673.0,596892629.1
52,399106.SZ,20200817,2287.336,2250.8523,2288.4878,2245.0761,2244.1715,43.1645,1.9234,488761720.0,616462867.1
53,399106.SZ,20200814,2244.1715,2214.0247,2244.9604,2205.5133,2216.4666,27.7049,1.25,388470904.0,482287532.9
54,399106.SZ,20200813,2216.4666,2224.8554,2230.3208,2208.9893,2215.1147,1.3519,0.061,403732808.0,494328105.3
55,399106.SZ,20200812,2215.1147,2237.511,2242.7345,2168.2387,2243.4529,-28.3382,-1.2632,450040572.0,602926102.0
56,399106.SZ,20200811,2243.4529,2278.9528,2296.9427,2241.2067,2277.4207,-33.9678,-1.4915,467222536.0,620585763.1
57,399106.SZ,20200810,2277.4207,2262.6567,2292.7577,2248.2609,2272.6601,4.7606,0.2095,452141805.0,630528095.4
58,399106.SZ,20200807,2272.6601,2297.2221,2302.0456,2234.7661,2304.5203,-31.8602,-1.3825,509976826.0,700755265.6
59,399106.SZ,20200806,2304.5203,2319.8497,2320.5453,2271.4043,2318.9246,-14.4043,-0.6212,533987159.0,721018872.0
60,399106.SZ,20200805,2318.9246,2299.9022,2324.5805,2279.7864,2300.5027,18.4219,0.8008,502462551.0,670264910.6
61,399106.SZ,20200804,2300.5027,2318.5145,2324.563,2289.073,2315.4407,-14.938,-0.6451,567319447.0,767890452.7
62,399106.SZ,20200803,2315.4407,2277.4921,2315.4407,2270.3805,2256.8692,58.5715,2.5953,568503398.0,761528398.2
63,399106.SZ,20200731,2256.8692,2225.1873,2267.7276,2215.6669,2227.3265,29.5427,1.3264,485599239.0,650202505.3
64,399106.SZ,20200730,2227.3265,2243.3602,2249.364,2221.4454,2236.9512,-9.6247,-0.4303,469674081.0,616774444.9
65,399106.SZ,20200729,2236.9512,2168.897,2236.9512,2162.7121,2173.8446,63.1066,2.903,437296046.0,593628412.0
66,399106.SZ,20200728,2173.8446,2163.7014,2179.8531,2154.1643,2144.3721,29.4725,1.3744,389085726.0,508085108.4
67,399106.SZ,20200727,2144.3721,2148.6796,2159.9961,2122.1878,2138.3568,6.0153,0.2813,397120542.0,524946633.6
68,399106.SZ,20200724,2138.3568,2236.8897,2245.5477,2129.4286,2250.9226,-112.5658,-5.0009,564786344.0,750542493.9
69,399106.SZ,20200723,2250.9226,2230.5147,2256.4609,2190.8873,2251.4271,-0.5045,-0.0224,526571743.0,699139544.7
70,399106.SZ,20200722,2251.4271,2228.5078,2274.4969,2220.0217,2232.6991,18.728,0.8388,499662234.0,657802230.6
71,399106.SZ,20200721,2232.6991,2222.1897,2236.2232,2209.0607,2216.7041,15.995,0.7216,472227272.0,614148679.2
72,399106.SZ,20200720,2216.7041,2185.7263,2216.7041,2151.087,2158.9384,57.7657,2.6757,493547249.0,649000514.9
73,399106.SZ,20200717,2158.9384,2144.0343,2189.9175,2127.4544,2144.2448,14.6936,0.6853,475084790.0,629553517.4
74,399106.SZ,20200716,2144.2448,2260.8099,2276.2288,2140.23,2261.7984,-117.5536,-5.1974,620638144.0,826644060.0
75,399106.SZ,20200715,2261.7984,2313.0402,2320.6076,2248.7843,2309.565,-47.7666,-2.0682,670932922.0,896761421.6
76,399106.SZ,20200714,2309.565,2327.3378,2333.3624,2262.2549,2329.3984,-19.8334,-0.8514,735504940.0,997147452.9
77,399106.SZ,20200713,2329.3984,2258.8068,2329.3984,2258.8068,2251.0042,78.3942,3.4826,708385661.0,954985897.3
78,399106.SZ,20200710,2251.0042,2247.4544,2273.9216,2236.2466,2257.9501,-6.9459,-0.3076,696693797.0,909263699.3
79,399106.SZ,20200709,2257.9501,2198.4447,2261.8557,2196.3642,2198.6182,59.3319,2.6986,759030060.0,974780177.4
80,399106.SZ,20200708,2198.6182,2157.9364,2200.7345,2141.5893,2157.9417,40.6765,1.885,669518605.0,845765553.0
81,399106.SZ,20200707,2157.9417,2142.3265,2189.9382,2125.6744,2121.5884,36.3533,1.7135,754514989.0,946169403.7
82,399106.SZ,20200706,2121.5884,2054.8724,2121.8577,2054.8724,2041.8909,79.6975,3.9031,691662553.0,841899277.4
83,399106.SZ,20200703,2041.8909,2020.0335,2041.8909,2011.182,2016.0492,25.8417,1.2818,512872021.0,636052461.6
84,399106.SZ,20200702,2016.0492,1989.424,2017.3615,1983.2248,1991.1101,24.9391,1.2525,476968052.0,601697770.5
85,399106.SZ,20200701,1991.1101,1980.9537,1993.6603,1966.0656,1975.5199,15.5902,0.7892,393967637.0,537386446.6
86,399106.SZ,20200630,1975.5199,1950.1849,1978.5322,1950.1849,1939.1238,36.3961,1.8769,326309197.0,449322548.8
